patient_id	label	beta	alpha_norm	alpha_pc1	alpha_pc2	alpha_pc3	alpha_pc4	alpha_pc5
OA_tissue_1	control	-0.000264	0.977729	-0.701936	-0.198008	-0.035758	0.142156	0.314288
OA_tissue_10	control	-0.000088	0.977243	-0.373156	-0.188537	-0.055479	0.064337	-0.022823
OA_tissue_11	control	0.000012	0.970197	-0.311493	-0.017368	-0.280283	-0.075280	-0.045881
OA_tissue_12	control	-0.000237	0.982969	-0.338478	-0.289977	-0.058200	-0.095220	-0.344917
OA_tissue_13	control	0.000197	0.968554	0.053664	0.057492	-0.189623	-0.060296	-0.068157
OA_tissue_14	control	0.000263	0.965924	-0.041728	0.139774	0.002466	0.005950	-0.123102
OA_tissue_15	control	0.000241	0.967854	0.004436	-0.042674	-0.184353	-0.122138	-0.124899
OA_tissue_16	control	0.000211	0.961580	-0.019408	0.045969	0.081695	0.043033	0.067010
OA_tissue_17	control	0.000273	0.959452	0.031215	-0.026262	-0.067038	0.183858	-0.019884
OA_tissue_18	control	0.000301	0.962682	-0.006968	0.066279	-0.016028	0.177500	-0.053768
OA_tissue_19	control	0.000273	0.961783	0.041895	0.071497	0.060850	0.047652	0.023741
OA_tissue_2	control	0.000245	0.969928	-0.042842	0.111231	0.000385	0.094172	-0.100888
OA_tissue_20	control	0.000250	0.961616	-0.050571	0.140665	0.013499	0.109630	0.012853
OA_tissue_21	control	0.000237	0.966417	-0.010923	0.081410	0.025827	0.165601	0.057812
OA_tissue_22	control	0.000291	0.962196	-0.019877	0.175829	0.045442	0.087744	0.012281
OA_tissue_3	control	0.000298	0.965912	0.007975	0.176377	-0.019623	0.101363	-0.028405
OA_tissue_4	control	0.000190	0.960260	-0.019397	0.122849	-0.168077	-0.047634	0.020247
OA_tissue_5	control	0.000214	0.966801	0.006036	0.108182	-0.171835	0.033545	0.055443
OA_tissue_6	control	0.000219	0.972599	0.001786	0.116094	-0.014788	0.092731	-0.087230
OA_tissue_7	control	0.000294	0.962246	0.045672	0.117398	-0.038216	0.113567	-0.065688
OA_tissue_8	control	0.000123	0.973495	-0.118127	-0.033782	-0.069768	-0.066464	-0.278033
OA_tissue_9	control	0.000187	0.968698	-0.101437	0.143231	0.113644	-0.187365	-0.028358
RA_tissue_1	active	0.000292	0.964927	-0.105222	0.190303	0.127351	-0.060420	0.022215
RA_tissue_10	active	0.000218	0.968766	-0.006821	0.161524	0.060398	0.051909	-0.011060
RA_tissue_100	active	0.000248	0.964926	0.053621	0.031148	0.101586	-0.045412	-0.048757
RA_tissue_101	active	0.000157	0.968959	0.101700	-0.105698	0.091922	-0.062244	0.010569
RA_tissue_102	active	0.000062	0.969907	-0.092891	-0.120089	0.066759	0.049040	0.024437
RA_tissue_103	active	0.000213	0.963459	-0.018516	-0.008750	0.022469	0.029094	-0.010572
RA_tissue_104	active	0.000062	0.972919	-0.296876	0.065934	0.032080	0.034789	-0.054728
RA_tissue_105	active	0.000225	0.959510	-0.006801	-0.006500	0.091254	-0.123977	0.081641
RA_tissue_106	active	0.000134	0.963601	-0.045084	-0.031018	0.086335	-0.090028	0.023664
RA_tissue_107	active	0.000174	0.966526	0.076811	-0.068756	0.014126	0.051328	0.030488
RA_tissue_108	active	0.000247	0.962121	0.099146	-0.109278	0.003573	0.087870	-0.011160
RA_tissue_109	active	0.000193	0.966161	0.119285	-0.100374	0.001582	0.070236	0.001317
RA_tissue_11	active	0.000226	0.972305	0.007448	0.179169	0.074405	-0.025982	-0.021522
RA_tissue_110	active	0.000196	0.969543	0.098253	-0.094524	0.065453	0.040429	0.039898
RA_tissue_111	active	0.000180	0.957427	-0.078361	0.017984	0.032756	0.003228	0.049029
RA_tissue_112	active	0.000220	0.957796	0.031733	-0.026044	0.059429	0.050125	0.072662
RA_tissue_113	active	0.000196	0.965065	-0.029091	-0.006702	0.047089	-0.001532	-0.000593
RA_tissue_114	active	0.000111	0.968676	0.082291	-0.112238	0.016494	0.042594	-0.003919
RA_tissue_115	active	0.000066	0.974480	-0.128719	-0.036183	0.099724	-0.014139	0.058783
RA_tissue_116	active	0.000243	0.962314	0.069595	-0.001542	0.050962	0.010624	0.018465
RA_tissue_117	active	0.000113	0.972028	-0.092115	-0.116557	-0.176991	-0.067664	0.168794
RA_tissue_118	active	0.000125	0.971378	0.023703	-0.169716	0.030220	0.054049	0.008828
RA_tissue_119	active	0.000176	0.966159	0.008096	0.013472	0.052705	-0.104156	-0.047509
RA_tissue_12	active	0.000239	0.968628	0.011348	0.114751	0.013063	0.009576	-0.039954
RA_tissue_120	active	0.000212	0.956772	-0.017971	0.084190	-0.022793	-0.148145	0.096588
RA_tissue_121	active	0.000202	0.965753	-0.000119	0.116912	-0.027109	0.109909	-0.105168
RA_tissue_122	active	0.000003	0.973712	-0.198739	0.035117	0.034371	0.077924	0.023632
