patient_id	label	beta	alpha_norm	alpha_pc1	alpha_pc2	alpha_pc3	alpha_pc4	alpha_pc5
20087P01A01_01	control	-0.000426	0.992675	-0.131410	-0.002794	0.043151	0.149734	-0.036520
20087P01A02_01	control	-0.000415	0.993340	-0.008111	0.022106	0.097622	0.201693	-0.090238
20087P01A03_01	control	-0.000322	0.990252	-0.239274	0.097728	-0.029342	-0.031153	-0.107375
20087P01A04_01	active	-0.000404	0.995603	-0.114132	-0.090501	-0.081801	0.018962	-0.073793
20087P01A05_01	active	-0.000128	0.993171	0.336297	0.193532	0.136166	-0.078652	0.018046
20087P01B01_01	control	-0.000310	0.993164	-0.310774	-0.054447	0.056403	0.122068	0.039054
20087P01B02_01	control	-0.000515	0.995005	-0.211269	-0.077144	0.110662	0.153105	0.012442
20087P01B03_01	control	-0.000479	0.996307	-0.284422	-0.096524	0.051945	0.143825	-0.002857
20087P01B04_01	active	-0.000214	0.994891	-0.002885	0.039535	-0.270298	0.081782	0.067138
20087P01B05_01	active	-0.000474	0.999095	0.090223	-0.267818	-0.103492	0.071842	0.045163
20087P01C01_01	control	-0.000410	0.996366	-0.233939	-0.100844	-0.039532	0.200201	0.050745
20087P01C02_01	control	-0.000211	0.987706	-0.369446	0.112239	-0.015231	0.088963	0.041176
20087P01C03_01	control	-0.000125	0.995890	0.019442	0.158813	-0.244499	-0.033525	0.159268
20087P01C04_01	active	-0.000343	0.995156	-0.057098	-0.024251	-0.164560	-0.010186	-0.062986
20087P01C05_01	active	-0.000316	0.998369	0.122683	-0.199691	-0.144358	-0.002058	0.095302
20087P01D01I2_01	control	-0.000141	0.990779	0.115852	0.259790	-0.035744	-0.091023	-0.055840
20087P01D02_01	control	-0.000324	0.990566	-0.314656	0.112426	0.017042	-0.060740	-0.124511
20087P01D03_01	control	-0.000387	0.990410	-0.087955	0.072263	0.128463	0.108551	-0.120682
20087P01D04_01	active	-0.000350	0.996597	0.022892	-0.054271	-0.245281	-0.051402	-0.051882
20087P01D05I2_01	active	-0.000284	0.992411	0.086053	0.104095	-0.070366	0.021402	-0.074127
20087P01E01_01	control	-0.000231	0.988094	0.103027	0.251963	0.017459	-0.009970	-0.095082
20087P01E02I2_01	control	-0.000155	0.990213	-0.331363	0.176839	0.075520	0.018941	0.182771
20087P01E03I2_01	active	-0.000070	0.993367	0.050945	0.201137	-0.272815	0.002399	0.123413
